"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"41Bis Thủ Khoa Huân, Phường Bến Thành, Quận 1, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8080903","106.7539028","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Đóng cửa","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 913 175 068",,"19","Quận 1, Hồ Chí Minh","41Bis Thủ Khoa Huân","Mekong delta luxury tours","5","https://www.google.com/maps/search/?api=1&query=Mekong%20delta%20luxury%20tours&query_place_id=ChIJy3t4IqEndTERj-3u1U1bqJw",,"3"
"RP9J+88X, Thảo Điền, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.818573","106.730373",,,,,,,,,,,,,,,,,"10","Quận 2, Hồ Chí Minh","RP9J+88X","Bến Cty Làng Ngọc Phú, Thảo Điền.",,"https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFn%20Cty%20L%C3%A0ng%20Ng%E1%BB%8Dc%20Ph%C3%BA%2C%20Th%E1%BA%A3o%20%C4%90i%E1%BB%81n.&query_place_id=ChIJ9csHTwAndTERBBpdZ1F0-2g",,"0"
"VR55+8PG, Đường số 197, Phường Tân Phú, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8583111","106.8093204","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 334 372 750",,"6","Quận 9, Hồ Chí Minh","VR55+8PG, Đường số 197","The flowerland Suối Tiên",,"https://www.google.com/maps/search/?api=1&query=The%20flowerland%20Su%E1%BB%91i%20Ti%C3%AAn&query_place_id=ChIJjWnlDOkndTER7xy65tqHGCs",,"0"
"240 Đ. Phạm Văn Đồng, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,,"10.8274697","106.7216967","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 987 007 821",,"9","Thủ Đức, Hồ Chí Minh","240 Đ. Phạm Văn Đồng","May Tour",,"https://www.google.com/maps/search/?api=1&query=May%20Tour&query_place_id=ChIJyQbpFlEpdTER6kJ_0GW0zMI",,"0"
"520 QL13, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8455795","106.7183105",,,,,,,,,,,,,,,,,"4","Thủ Đức, Hồ Chí Minh","520 QL13","Điểm đón Tour Trekking Everest Việt","5","https://www.google.com/maps/search/?api=1&query=%C4%90i%E1%BB%83m%20%C4%91%C3%B3n%20Tour%20Trekking%20Everest%20Vi%E1%BB%87t&query_place_id=ChIJX_zv-yEpdTERulCJAHxvShg",,"2"
"68 Đ3, Trường Thạnh, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8052634","106.8413688",,,,,,,,,,,,,,,,,"4","Quận 9, Hồ Chí Minh","68 Đ3","The BCR Tourist Village",,"https://www.google.com/maps/search/?api=1&query=The%20BCR%20Tourist%20Village&query_place_id=ChIJnX4uWQAhdTERxEtmJGS8Df0",,"0"
"RRVV+9G, Long Bình, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8449238","106.8432249","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày",,,"3","Quận 9, Hồ Chí Minh","RRVV+9G","Quảng trường Golden Eagle","5","https://www.google.com/maps/search/?api=1&query=Qu%E1%BA%A3ng%20tr%C6%B0%E1%BB%9Dng%20Golden%20Eagle&query_place_id=ChIJJWjpg_chdTERRH2xk59ajR4",,"1"
"RRJV+XCP, Đ. V3, Vinhomes Grand Park, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8324528","106.8435917",,,,,,,,,,,,,,,,,"2","Quận 9, Hồ Chí Minh","RRJV+XCP, Đ. V3","Công viên Malibu","5","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20vi%C3%AAn%20Malibu&query_place_id=ChIJqadZBtIhdTERvDZKUfC9AWo",,"1"
"19 Bình Quới, Linh Đông, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.835208","106.746459",,,,,,,,,,,,,,,,,"3","Thủ Đức, Hồ Chí Minh","19 Bình Quới","Waterbus Linh Dong Station","4.6","https://www.google.com/maps/search/?api=1&query=Waterbus%20Linh%20Dong%20Station&query_place_id=ChIJeT5xXwQndTERAUJArJ-GCZ0",,"9"
"22 33/26, Bình Chiểu, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8775897","106.7264125",,,,,,,,,,,,,,,,,"1","Thủ Đức, Hồ Chí Minh","22 33/26","Đỗ Gia Trang",,"https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%97%20Gia%20Trang&query_place_id=ChIJ-5wNNPTZdDER0nC8gO4jynY",,"0"
"RRRV+MG, Long Bình, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8417179","106.8437714","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày",,,"1","Thủ Đức, Hồ Chí Minh","RRRV+MG","Biển Hồ Nhân Tạo Grand Park","5","https://www.google.com/maps/search/?api=1&query=Bi%E1%BB%83n%20H%E1%BB%93%20Nh%C3%A2n%20T%E1%BA%A1o%20Grand%20Park&query_place_id=ChIJAVwCIwAhdTERRPO2e2Thihk",,"1"
"10 Đ. Mai Chí Thọ, Thủ Thiêm, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.7719353","106.7210912","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:00","Thứ Bảy","09:00 to 22:00","Chủ Nhật","09:00 to 22:00","Thứ Hai","09:00 to 22:00","Thứ Ba","09:00 to 22:00","Thứ Tư","09:00 to 22:00","+84 767 988 886",,"20","Quận 2, Hồ Chí Minh","10 Đ. Mai Chí Thọ","Triển Lãm Metashow",,"https://www.google.com/maps/search/?api=1&query=Tri%E1%BB%83n%20L%C3%A3m%20Metashow&query_place_id=ChIJndq3BwAvdTERj_DUMjThsF0","http://metashow.vn/","0"
"Núi Mướn Làng Cổ Đông Sơn, Phường Hàm Rồng, Thành Phố Thanh Hóa, Thanh Hóa, Việt Nam","Điểm thu hút khách du lịch","false",,,,"10.7978342","106.77444","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 946 663 639",,"13","Thành Phố Thanh Hóa, Thanh Hóa","Núi Mướn Làng Cổ Đông Sơn","Động Tiên Sơn","4.2","https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%99ng%20Ti%C3%AAn%20S%C6%A1n&query_place_id=ChIJlw5tsNX3NjERuRIcyeIdHnE",,"665"
"Toà nhà The CBD Premium Home, 125 Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Thủ Đức, Hồ Chí Minh 700000, Việt Nam","Trung tâm vui chơi giải trí","false",,,,"10.7737495","106.7627439","Thứ Năm","09:00 to 19:00","Thứ Sáu","09:00 to 19:00","Thứ Bảy","09:00 to 19:00","Chủ Nhật","09:00 to 19:00","Thứ Hai","09:00 to 19:00","Thứ Ba","09:00 to 19:00","Thứ Tư","09:00 to 19:00","+84 1900 588838",,"23","Thủ Đức, Hồ Chí Minh","Toà nhà The CBD Premium Home, 125 Đồng Văn Cống","Khu vui chơi Tuyết Snow Town Sài Gòn","4.1","https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Tuy%E1%BA%BFt%20Snow%20Town%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJn_6CMc4ldTERfau3dKJESPI","https://snowtownsaigon.com/","5063"
"QPCG+F3X, Đ. N2, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.7712303","106.7252197",,,,,,,,,,,,,,,,,"6","Quận 2, Thành phố Hồ Chí Minh","QPCG+F3X, Đ. N2","Giant Sala Flower","4","https://www.google.com/maps/search/?api=1&query=Giant%20Sala%20Flower&query_place_id=ChIJyTUTBUAldTERoiRHwv8678I",,"1"
"94 Xuân Thủy, Thảo Điền, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,,"10.8037372","106.7349697","Thứ Năm","08:00 to 22:00","Thứ Sáu","08:00 to 22:00","Thứ Bảy","08:00 to 22:00","Chủ Nhật","08:00 to 22:00","Thứ Hai","08:00 to 22:00","Thứ Ba","08:00 to 22:00","Thứ Tư","08:00 to 22:00","+84 977 509 372",,"11","Quận 2, Hồ Chí Minh","94 Xuân Thủy","ThaoDien Square","4.2","https://www.google.com/maps/search/?api=1&query=ThaoDien%20Square&query_place_id=ChIJ1_SAldYndTER8TLOGeI75G0",,"29"
"QPGX+98X, Đường số 103-TML, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.7759867","106.7483525","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày",,,"5","Quận 2, Hồ Chí Minh","QPGX+98X, Đường số 103-TML","Bờ kè đảo Kim Cương","4.4","https://www.google.com/maps/search/?api=1&query=B%E1%BB%9D%20k%C3%A8%20%C4%91%E1%BA%A3o%20Kim%20C%C6%B0%C6%A1ng&query_place_id=ChIJ6ZESOoYldTERcVy0ynGflBg",,"72"
"VR43+Q6P, Phường Tân Phú, Quận 9, Hồ Chí Minh, Việt Nam","Công viên","true",,,,"10.8569656","106.8030892",,,,,,,,,,,,,,,"+84 28 3896 0260",,"27","Quận 9, Hồ Chí Minh","VR43+Q6P","Công viên văn hoá Suối Tiên","4.2","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20vi%C3%AAn%20v%C4%83n%20ho%C3%A1%20Su%E1%BB%91i%20Ti%C3%AAn&query_place_id=ChIJZ7NX8acndTERSKsDJ-kmVF8",,"117"
"56h Đường Lê Thị Hoa, Bình Chiểu, Thủ Đức, Hồ Chí Minh, Việt Nam","Chùa phật giáo","true",,,,"10.8735702","106.7378711","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Đóng cửa","Thứ Ba","08:00 to 17:00","Thứ Tư","Mở cửa cả ngày",,,"22","Thủ Đức, Hồ Chí Minh","56h Đường Lê Thị Hoa","Chùa Bửu Quang","4.6","https://www.google.com/maps/search/?api=1&query=Ch%C3%B9a%20B%E1%BB%ADu%20Quang&query_place_id=ChIJ7e49b_YndTERumsElZzMn2g",,"648"
"52 Đ. 79, Phước Long B, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8335861","106.7699252",,,,,,,,,,,,,,,,,"14","Quận 9, Hồ Chí Minh","52 Đ. 79","Tô Tượng LuGi","5","https://www.google.com/maps/search/?api=1&query=T%C3%B4%20T%C6%B0%E1%BB%A3ng%20LuGi&query_place_id=ChIJnVkTKE4ndTERjT6g5P8LZjk",,"1"
"6 Đ. Lê Văn Miến, Thảo Điền, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8047376","106.7321829",,,,,,,,,,,,,,,,,"5","Quận 2, Hồ Chí Minh","6 Đ. Lê Văn Miến","Triển lãm Kỳ Ẩn Việt Nam",,"https://www.google.com/maps/search/?api=1&query=Tri%E1%BB%83n%20l%C3%A3m%20K%E1%BB%B3%20%E1%BA%A8n%20Vi%E1%BB%87t%20Nam&query_place_id=ChIJtUAie20ndTERhUZ8h47Eddw",,"0"
"18 6, Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8280101","106.773411",,,,,,,,,,,,,,,,,"12","Quận 9, Hồ Chí Minh","18 6","Trung Liên",,"https://www.google.com/maps/search/?api=1&query=Trung%20Li%C3%AAn&query_place_id=ChIJD0-xTrYndTER9e2wNpClFrY",,"0"
"VR53+XJG, Phường Tân Phú, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8603743","106.8030249",,,,,,,,,,,,,,,,,"6","Quận 9, Hồ Chí Minh","VR53+XJG","Sân khấu Hoàng Đế","5","https://www.google.com/maps/search/?api=1&query=S%C3%A2n%20kh%E1%BA%A5u%20Ho%C3%A0ng%20%C4%90%E1%BA%BF&query_place_id=ChIJj895b6AndTER5hW59q9xwjQ",,"1"
"1109 Phú Châu, Tam Phú, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8630552","106.7517113",,,,,,,,,,,,,,,,,"18","Thủ Đức, Hồ Chí Minh","1109 Phú Châu","Cực Nam tỉnh Bình Dương",,"https://www.google.com/maps/search/?api=1&query=C%E1%BB%B1c%20Nam%20t%E1%BB%89nh%20B%C3%ACnh%20D%C6%B0%C6%A1ng&query_place_id=ChIJC6PWdiMndTERyR7vV5mEGfc",,"0"
"7 Đ. 16, Khu phố 1, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8591119","106.7603891",,,,,,,,,,,,,,,,,"10","Thủ Đức, Hồ Chí Minh","7 Đ. 16","CÔNG TY TNHH DIVA TRIP",,"https://www.google.com/maps/search/?api=1&query=C%C3%94NG%20TY%20TNHH%20DIVA%20TRIP&query_place_id=ChIJy91xLu0ndTEROAPsWSACEuM",,"0"
"Phường Linh Trung, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,,"10.8696072","106.7983187",,,,,,,,,,,,,,,,,"12","Thủ Đức, Hồ Chí Minh",,"Hồ Ánh Dương - Trường ĐH Khoa học Xã hội và Nhân văn, ĐHQG-HCM","4.8","https://www.google.com/maps/search/?api=1&query=H%E1%BB%93%20%C3%81nh%20D%C6%B0%C6%A1ng%20-%20Tr%C6%B0%E1%BB%9Dng%20%C4%90H%20Khoa%20h%E1%BB%8Dc%20X%C3%A3%20h%E1%BB%99i%20v%C3%A0%20Nh%C3%A2n%20v%C4%83n%2C%20%C4%90HQG-HCM&query_place_id=ChIJuR92JDUndTERbQc2wfh0Dmk","http://hcmussh.edu.vn/","9"
"189a Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.817792","106.729135",,,,,,,,,,,,,,,,,"20","Quận 2, Hồ Chí Minh","189a Nguyễn Văn Hưởng","Bến Làng Ngọc Phú, p Thảo Điền",,"https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFn%20L%C3%A0ng%20Ng%E1%BB%8Dc%20Ph%C3%BA%2C%20p%20Th%E1%BA%A3o%20%C4%90i%E1%BB%81n&query_place_id=ChIJK_dgSQAndTERtzuAPBQmaJ0",,"0"
"6/20N Đ. Số 10, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8685457","106.7246779","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 908 550 360",,"7","Thủ Đức, Hồ Chí Minh","6/20N Đ. Số 10","Lạc Esquel","5","https://www.google.com/maps/search/?api=1&query=L%E1%BA%A1c%20Esquel&query_place_id=ChIJc_7swoYndTERej0i95iEWpU",,"2"
"RVH7+49, Long Phước, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,,"10.8277638","106.8634749",,,,,,,,,,,,,,,,,"14","Quận 9, Hồ Chí Minh","RVH7+49","Khu Sinh Thái Huỳnh Anh","5","https://www.google.com/maps/search/?api=1&query=Khu%20Sinh%20Th%C3%A1i%20Hu%E1%BB%B3nh%20Anh&query_place_id=ChIJVxoTMpshdTEREjEPZK74yrs",,"12"
"RR7R+V8Q, Trường Thạnh, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8147095","106.8408588",,,,,,,,,,,,,,,,,"16","Quận 9, Hồ Chí Minh","RR7R+V8Q","Bãi câu cá đảo kim cương",,"https://www.google.com/maps/search/?api=1&query=B%C3%A3i%20c%C3%A2u%20c%C3%A1%20%C4%91%E1%BA%A3o%20kim%20c%C6%B0%C6%A1ng&query_place_id=ChIJnUwccAAhdTERPmlh5akPoeo",,"0"
"Lot A4, Binh Chieu Industrial Park, Thu Duc District, Bình Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","Thợ bọc nội thất ô tô","true",,,,"10.8836341","106.730492",,,,,,,,,,,,,,,"+84 28 3729 0107",,"39","Thủ Đức, Thành phố Hồ Chí Minh","Lot A4, Binh Chieu Industrial Park, Thu Duc District","Marubishi Summit Vietnam Co. Ltd.","4.2","https://www.google.com/maps/search/?api=1&query=Marubishi%20Summit%20Vietnam%20Co.%20Ltd.&query_place_id=ChIJxxUfvATYdDERxeVyh9Gqviw",,"14"
"NX-LP-TMDV1-20, Vinhomes Grand Park, Thủ Đức, Hồ Chí Minh 71300, Việt Nam","Nhà hàng pizza","false",,,,"10.8836915","106.7292549","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:30","Thứ Bảy","09:00 to 22:30","Chủ Nhật","09:00 to 22:30","Thứ Hai","09:00 to 22:00","Thứ Ba","09:00 to 22:00","Thứ Tư","09:00 to 22:00","+84 855 652 221",,"38","Thủ Đức, Hồ Chí Minh","NX-LP-TMDV1-20","1Day Pizza","5","https://www.google.com/maps/search/?api=1&query=1Day%20Pizza&query_place_id=ChIJTbw_qurZdDERlVQHO46piqA","https://1daypizza.com/","4"
"3 Đ. Bình Chiểu, Thành Phố, Thủ Đức, Hồ Chí Minh, Việt Nam","Bãi đỗ xe","true",,,,"10.8748112","106.7338423","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 942 397 339",,"36","Thủ Đức, Hồ Chí Minh","3 Đ. Bình Chiểu","Bãi xe NGÔ HIẾU","4.5","https://www.google.com/maps/search/?api=1&query=B%C3%A3i%20xe%20NG%C3%94%20HI%E1%BA%BEU&query_place_id=ChIJV92DqcYndTERkaLueXouoog",,"2"
"14 TL43, Bình Chiểu, Thủ Đức, Hồ Chí Minh, Việt Nam","Bãi đỗ xe","false",,,,"10.8824222","106.7258701",,,,,,,,,,,,,,,"+84 973 338 539",,"37","Thủ Đức, Hồ Chí Minh","14 TL43","Công ty tnhh vận tải Hà Minh Ân",,"https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20ty%20tnhh%20v%E1%BA%ADn%20t%E1%BA%A3i%20H%C3%A0%20Minh%20%C3%82n&query_place_id=ChIJA6-Kzs3ZdDERDtqgzVwK4S8",,"0"
