"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"35, Đường Số 7, Phường An Lạc A, Quận Bình Tân, Phường 13, Quận 6, Hồ Chí Minh 700000, Việt Nam","Nhà hàng cơm","true",,,"10.7525262","106.6241689","Thứ Tư","06:00 to 20:00","Thứ Năm","06:00 to 20:00","Thứ Sáu","06:00 to 20:00","Thứ Bảy","06:00 to 20:00","Chủ Nhật","06:00 to 20:00","Thứ Hai","06:00 to 20:00","Thứ Ba","06:00 to 20:00","+84 917 410 949",,"117","Quận 6, Hồ Chí Minh","35, Đường Số 7, Phường An Lạc A, Quận Bình Tân","Cơm Chay buffet Thuận Duyên","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Chay%20buffet%20Thu%E1%BA%ADn%20Duy%C3%AAn&query_place_id=ChIJo924oektdTERPO57BkE2xh0",,"6"
"764 Đ. Tân Kỳ Tân Quý, Bình Hưng Hoà, Bình Tân, Hồ Chí Minh, Việt Nam","Quán trà san sảnh","false","https://food.google.com/chooseprovider?restaurantId=/g/11tn2ydfls&g2lbs=AOHF13k6cTG8r-7lnJPUhlO-I0mQhD40Pxazwdg3Srd0TSephuyXFi8g1OIZvdNtx62QgVpxRboKnj1iQ8_47rmJorS7feTadA%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Hd1yZof2IqTS1sQP9euA6AM&ei=Hd1yZof2IqTS1sQP9euA6AM&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7905266","106.6029633","Thứ Tư","10:30 to 22:30","Thứ Năm","10:30 to 22:30","Thứ Sáu","10:30 to 22:30","Thứ Bảy","10:30 to 22:30","Chủ Nhật","10:30 to 22:30","Thứ Hai","10:30 to 22:30","Thứ Ba","10:30 to 22:30","+84 974 497 306",,"116","Bình Tân, Hồ Chí Minh","764 Đ. Tân Kỳ Tân Quý","Trái cây tô - Sinh tố - Trà sữa NOBITA",,"https://www.google.com/maps/search/?api=1&query=Tr%C3%A1i%20c%C3%A2y%20t%C3%B4%20-%20Sinh%20t%E1%BB%91%20-%20Tr%C3%A0%20s%E1%BB%AFa%20NOBITA&query_place_id=ChIJGbBMeqEtdTERMNe8CZjTJ3E",,"0"
"25 Đường số 15, Bình Hưng Hoà, Bình Tân, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,"10.8015664","106.6075301","Thứ Tư","05:30 to 12:30","Thứ Năm","05:30 to 12:30","Thứ Sáu","05:30 to 12:30","Thứ Bảy","05:30 to 12:30","Chủ Nhật","05:30 to 12:30","Thứ Hai","05:30 to 12:30","Thứ Ba","05:30 to 12:30","+84 917 348 089",,"113","Bình Tân, Hồ Chí Minh","25 Đường số 15","Bún cá Châu Đốc Thanh Thủy","5","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20c%C3%A1%20Ch%C3%A2u%20%C4%90%E1%BB%91c%20Thanh%20Th%E1%BB%A7y&query_place_id=ChIJD-bAKFArdTERxcKAakRzQmY",,"21"
"7 Đ. Liên Khu 5-6, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh 700000, Việt Nam","Nhà hàng Hàn Quốc","true",,,"10.7893323","106.5938715",,,,,,,,,,,,,,,,,"112","Bình Tân, Hồ Chí Minh","7 Đ. Liên Khu 5-6","cwewrewr",,"https://www.google.com/maps/search/?api=1&query=cwewrewr&query_place_id=ChIJzQTBTwktdTERU6nFppjZCr8",,"0"
"121 Ấp Chiến Lược, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","false",,,"10.7910973","106.6066028","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","06:00 to 11:00","Thứ Hai","06:00 to 11:00","Thứ Ba","06:00 to 11:00","+84 778 835 883",,"111","Bình Tân, Hồ Chí Minh","121 Ấp Chiến Lược","Bún Bò 121",,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20121&query_place_id=ChIJq9QyUGEtdTER4GoB8Gzbk20",,"0"
"53 Đường số 5, An Lạc A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.7498874","106.6214444","Thứ Tư","06:00 to 11:30","Thứ Năm","06:00 to 11:30","Thứ Sáu","06:00 to 11:30","Thứ Bảy","06:00 to 11:30","Chủ Nhật","06:00 to 11:30","Thứ Hai","06:00 to 11:30","Thứ Ba","06:00 to 11:30",,"$$","103","Bình Tân, Hồ Chí Minh","53 Đường số 5","Cơm Tấm Thảo Vân","4.3","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20Th%E1%BA%A3o%20V%C3%A2n&query_place_id=ChIJt6OLHyMtdTERRB_jC4lW-Ow","https://www.foody.vn/ho-chi-minh/thao-van-com-tam","126"
"53/145, Đ. Số 4, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh 762000, Việt Nam","Quán mì","false",,,"10.7980756","106.5898867","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","06:00 to 11:00","Thứ Hai","06:00 to 11:00","Thứ Ba","06:00 to 11:00","+84 986 195 215",,"109","Bình Tân, Hồ Chí Minh","53/145, Đ. Số 4","Bún Bò - Mì Quảng Hương",,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20-%20M%C3%AC%20Qu%E1%BA%A3ng%20H%C6%B0%C6%A1ng&query_place_id=ChIJjwvtPVErdTER93Exu59_AVM",,"0"
"31 Đường số 7, An Lạc A, Bình Tân, Hồ Chí Minh, Việt Nam","Quán mì","true",,,"10.7512986","106.6215945","Thứ Tư","06:00 to 11:00, 16:00 to 21:00","Thứ Năm","06:00 to 11:00, 16:00 to 21:00","Thứ Sáu","06:00 to 11:00, 16:00 to 21:00","Thứ Bảy","06:00 to 11:00, 16:00 to 21:00","Chủ Nhật","06:00 to 11:00, 16:00 to 21:00","Thứ Hai","06:00 to 11:00, 16:00 to 21:00","Thứ Ba","06:00 to 11:00, 16:00 to 21:00","+84 909 279 979","$$","104","Bình Tân, Hồ Chí Minh","31 Đường số 7","Hủ tíu nam vang Tường Phát","4","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20t%C3%ADu%20nam%20vang%20T%C6%B0%E1%BB%9Dng%20Ph%C3%A1t&query_place_id=ChIJNdqS6iwsdTERvxvi2BiVwMQ",,"480"
"12/1 Đường số 13A, Khu Phố 19, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.7904949","106.6104296","Thứ Tư","06:00 to 14:00","Thứ Năm","06:00 to 14:00","Thứ Sáu","06:00 to 14:00","Thứ Bảy","06:00 to 14:00","Chủ Nhật","06:00 to 14:00","Thứ Hai","06:00 to 14:00","Thứ Ba","06:00 to 14:00","+84 764 780 379",,"108","Bình Tân, Hồ Chí Minh","12/1 Đường số 13A","CƠM TẤM 6 MINH",,"https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20T%E1%BA%A4M%206%20MINH&query_place_id=ChIJI4xBiv4tdTER62tyaKxwSt4",,"0"
"464B Xa lộ Đại Hàn, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh 67223, Việt Nam","Nhà hàng cơm","false",,,"10.801519","106.5977989","Thứ Tư","09:00 to 16:00","Thứ Năm","09:00 to 16:00","Thứ Sáu","09:00 to 16:00","Thứ Bảy","09:00 to 16:00","Chủ Nhật","09:00 to 16:00","Thứ Hai","09:00 to 16:00","Thứ Ba","09:00 to 16:00","+84 934 696 992",,"107","Bình Tân, Hồ Chí Minh","464B Xa lộ Đại Hàn","Cơm Trưa Bé Ba","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Tr%C6%B0a%20B%C3%A9%20Ba&query_place_id=ChIJkxVL42UrdTERwnVltQiPrmo",,"1"
"474 Tên Lửa, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.7514965","106.6107903","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","+84 906 789 696",,"120","Bình Tân, Hồ Chí Minh","474 Tên Lửa","Hủ Tiếu Nam Vang Thành Đạt HL","3.5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20Ti%E1%BA%BFu%20Nam%20Vang%20Th%C3%A0nh%20%C4%90%E1%BA%A1t%20HL&query_place_id=ChIJyQYJczItdTERTGL97pkGLDs",,"20"
"118/31G, Đ. Liên Khu 5-6, P, Bình Tân, Hồ Chí Minh 700000, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.7910132","106.5899013","Thứ Tư","11:00 to 20:00","Thứ Năm","11:00 to 20:00","Thứ Sáu","11:00 to 20:00","Thứ Bảy","11:00 to 20:00","Chủ Nhật","11:00 to 20:00","Thứ Hai","11:00 to 20:00","Thứ Ba","11:00 to 20:00","+84 356 324 797",,"106","Bình Tân, Hồ Chí Minh","118/31G, Đ. Liên Khu 5-6","Bánh xèo miền Tây - Bà Mập","4.1","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20x%C3%A8o%20mi%E1%BB%81n%20T%C3%A2y%20-%20B%C3%A0%20M%E1%BA%ADp&query_place_id=ChIJK2H-m2gtdTERVvPFNs6QzAs","https://www.facebook.com/Banhxeobamap","7"
"RH2V+65C, Đường Số 1, Bình Hưng Hoà B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.8005633","106.5929053",,,,,,,,,,,,,,,,,"105","Bình Tân, Thành phố Hồ Chí Minh","RH2V+65C, Đường Số 1","Bánh Cuốn Vĩnh Lộc","3.5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Cu%E1%BB%91n%20V%C4%A9nh%20L%E1%BB%99c&query_place_id=ChIJX-jG5aIrdTERmqIv78-CY3g",,"2"
"173 Đ. Vành Đai Trong, An Lạc A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng Trung Quốc","false",,,"10.7467149","106.6148367","Thứ Tư","11:00 to 21:30","Thứ Năm","11:00 to 21:30","Thứ Sáu","11:00 to 21:30","Thứ Bảy","11:00 to 21:30","Chủ Nhật","11:00 to 21:30","Thứ Hai","11:00 to 21:30","Thứ Ba","11:00 to 21:30","+84 961 334 233",,"117","Bình Tân, Hồ Chí Minh","173 Đ. Vành Đai Trong","Lưu ký Quán( 刘记快餐）",,"https://www.google.com/maps/search/?api=1&query=L%C6%B0u%20k%C3%BD%20Qu%C3%A1n(%20%E5%88%98%E8%AE%B0%E5%BF%AB%E9%A4%90%EF%BC%89&query_place_id=ChIJj9lGklUtdTERAydmuOhlUMI",,"0"
"Đường Số 1, Phường Tân Tạo A, Quận Bình Tân, Thành Phố Hồ Chí Minh, Thành Phố Hồ Chí Minh, Tân Tạo A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.7465789","106.5863361","Thứ Tư","07:00 to 19:30","Thứ Năm","07:00 to 19:30","Thứ Sáu","07:00 to 19:30","Thứ Bảy","07:00 to 19:30","Chủ Nhật","07:00 to 19:30","Thứ Hai","07:00 to 19:30","Thứ Ba","07:00 to 19:30","+84 979 263 636",,"113","Bình Tân, Hồ Chí Minh","Đường Số 1, Phường Tân Tạo A, Quận Bình Tân, Thành Phố Hồ Chí Minh, Thành Phố Hồ Chí Minh","Quán Cơm Dũng Thuận","4.1","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20D%C5%A9ng%20Thu%E1%BA%ADn&query_place_id=ChIJbQyJyKstdTERwOq6bli39_0",,"25"
"278 Đ. Số 1, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.7483412","106.6125891","Thứ Tư","06:00 to 16:00","Thứ Năm","06:00 to 16:00","Thứ Sáu","06:00 to 16:00","Thứ Bảy","06:00 to 16:00","Chủ Nhật","06:00 to 16:00","Thứ Hai","06:00 to 16:00","Thứ Ba","06:00 to 16:00","+84 932 075 285",,"118","Bình Tân, Hồ Chí Minh","278 Đ. Số 1","Bún Thịt Nướng Cô Hà","5","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Th%E1%BB%8Bt%20N%C6%B0%E1%BB%9Bng%20C%C3%B4%20H%C3%A0&query_place_id=ChIJDUEumz8tdTERMJnhVs9vtSA",,"9"
"83 Đường số 49, Tân Tạo, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng","true","https://food.google.com/chooseprovider?restaurantId=/g/11mv4p9n0n&g2lbs=AOHF13nO1_ZlTfYa9wzoqpE4Zn7q7vcqkGJf3q8Jb_Q2EOgQn8Hb6oG6cRvD7K5JzBVs6ASsduMSKxVEkyKM7lUo7Zqnij-VFg%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Md1yZuy1FuHT1sQP39SW0A0&ei=Md1yZuy1FuHT1sQP39SW0A0&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.752391","106.6020266","Thứ Tư","11:00 to 19:00","Thứ Năm","11:00 to 19:00","Thứ Sáu","11:00 to 19:00","Thứ Bảy","11:00 to 19:00","Chủ Nhật","Đóng cửa","Thứ Hai","11:00 to 19:00","Thứ Ba","11:00 to 19:00",,,"111","Bình Tân, Hồ Chí Minh","83 Đường số 49","Cháo vịt Long An","3.9","https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20v%E1%BB%8Bt%20Long%20An&query_place_id=ChIJ2WbQilItdTERktkPwQ6y9OA",,"9"
"68 Đường số 19E, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng phở","false",,,"10.7529207","106.6128935","Thứ Tư","06:00 to 13:00","Thứ Năm","06:00 to 13:00","Thứ Sáu","06:00 to 13:00","Thứ Bảy","06:00 to 13:00","Chủ Nhật","06:00 to 13:00","Thứ Hai","06:00 to 13:00","Thứ Ba","06:00 to 13:00","+84 385 250 492",,"109","Bình Tân, Hồ Chí Minh","68 Đường số 19E","Phở Nhung","4","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Nhung&query_place_id=ChIJ88gsAN8tdTERn3P6ReX6OhA",,"1"
"27 Đ. Ng. Y Linh, An Lạc, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng món lẩu","true",,,"10.7330431","106.6198234",,,,,,,,,,,,,,,,,"102","Bình Tân, Thành phố Hồ Chí Minh","27 Đ. Ng. Y Linh","Quán Lẩu Tam Tý - Lẩu Bò Bình Dân",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20L%E1%BA%A9u%20Tam%20T%C3%BD%20-%20L%E1%BA%A9u%20B%C3%B2%20B%C3%ACnh%20D%C3%A2n&query_place_id=ChIJK6Ki2tItdTERU8cG3APhYrc",,"0"
"687A Đ. Kinh Dương Vương, P. Phú Thuận, Bình Tân, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,"10.7293298","106.6097531","Thứ Tư","06:00 to 19:00","Thứ Năm","06:00 to 19:00","Thứ Sáu","00:00 to 19:00","Thứ Bảy","13:00 to 19:00","Chủ Nhật","13:00 to 19:00","Thứ Hai","06:00 to 19:00","Thứ Ba","06:00 to 19:00","+84 933 920 765",,"101","Bình Tân, Hồ Chí Minh","687A Đ. Kinh Dương Vương","Ăn Vặt Út Tin",,"https://www.google.com/maps/search/?api=1&query=%C4%82n%20V%E1%BA%B7t%20%C3%9At%20Tin&query_place_id=ChIJRTASgZotdTER8KeMncZCqVc",,"0"
"260 Đ. Số 1, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.7484294","106.6130149",,,,,,,,,,,,,,,,,"100","Bình Tân, Hồ Chí Minh","260 Đ. Số 1","Cơm bình dân Gia Bảo",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20b%C3%ACnh%20d%C3%A2n%20Gia%20B%E1%BA%A3o&query_place_id=ChIJGzH7KQAtdTERdyb6gwAnGrc",,"0"
"139 Đ. Số 6, An Lạc A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","true",,,"10.7522439","106.6185902",,,,,,,,,,,,,,,,,"92","Bình Tân, Hồ Chí Minh","139 Đ. Số 6","Ốc 35k, hào nướng 6k",,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%2035k%2C%20h%C3%A0o%20n%C6%B0%E1%BB%9Bng%206k&query_place_id=ChIJAbznVystdTER4YMxG0I4Dfg",,"0"
"132 Đ. Số 1, An Lạc A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.7461002","106.6183448",,,,,,,,,,,,,,,,,"97","Bình Tân, Hồ Chí Minh","132 Đ. Số 1","Cơm tấm 132 Đường Số 1","4.1","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20132%20%C4%90%C6%B0%E1%BB%9Dng%20S%E1%BB%91%201&query_place_id=ChIJnzRjqYYtdTERBIYL6iUZ0t4",,"8"
"236 Đ. Vành Đai Trong, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.7502558","106.6154606","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","09:30 to 21:00","Thứ Bảy","07:30 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00","Thứ Ba","10:00 to 21:00","+84 913 899 877","$$","90","Bình Tân, Hồ Chí Minh","236 Đ. Vành Đai Trong","Quán ăn Dũng Năm Căn","3.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20D%C5%A9ng%20N%C4%83m%20C%C4%83n&query_place_id=ChIJhaEmif0tdTERZqR8yavA6E4",,"376"
